IDSinhVien,nganh,MaMonHoc,TenMonHoc,TenDot,hk_so,nam_hoc,DiemTongKet,DiemTongKet4,DiemChu,dat,ThuocKCNTT
2010008,CS,002990,Lập Trình Hướng Sự Kiện với Công Nghệ .NET,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,1
1910024,CS,002990,Lập Trình Hướng Sự Kiện với Công Nghệ .NET,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,1
1610056,CS,002876,Lập Trình Hướng Sự Kiện với Công Nghệ Java,HK1 (2018-2019),1,2018-2019,10.0,4.0,A+,True,1
1710017,CS,015060,Phân tích và quản lý yêu cầu,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1710017,CS,015400,Công nghệ thông tin trong chuyển đổi số,HK1 (2018-2019),1,2018-2019,10.0,4.0,A+,True,1
1710035,CS,001758,Phân tích thiết kế giải thuật,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,1
1810049,CS,014192,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,0
1810050,CS,004021,Lập trình GUI với Qt Framework,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,1
1610027,CS,003877,Môi trường và con người,HK1 (2017-2018),1,2017-2018,10.0,4.0,A+,True,0
1610094,CS,004196,Quản lý dự án CNTT,HK2 (2018-2019),2,2018-2019,10.0,4.0,A+,True,1
1610096,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2018-2019),1,2018-2019,10.0,4.0,A+,True,1
1710062,CS,002876,Lập Trình Hướng Sự Kiện với Công Nghệ Java,HK1 (2019-2020),1,2019-2020,10.0,4.0,A+,True,1
1610096,CS,003406,Lập trình Phân Tán Công Nghệ .NET,HK1 (2019-2020),1,2019-2020,10.0,4.0,A+,True,1
1710051,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2019-2020),1,2019-2020,10.0,4.0,A+,True,1
1610086,CS,001729,Tương tác người máy,HK2 (2018-2019),2,2018-2019,10.0,4.0,A+,True,1
1610085,CS,003406,Lập trình Phân Tán Công Nghệ .NET,HK1 (2019-2020),1,2019-2020,10.0,4.0,A+,True,1
1610086,CS,001730,Automat & ngôn ngữ hình thức,HK1 (2018-2019),1,2018-2019,10.0,4.0,A+,True,1
2010087,CS,002804,Lập trình phân tán với công nghệ Java,HK1 (2023-2024),1,2023-2024,10.0,4.0,A+,True,1
1910024,CS,003953,Lập trình phân tích dữ liệu 2,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,1
1610074,CS,003406,Lập trình Phân Tán Công Nghệ .NET,HK1 (2019-2020),1,2019-2020,10.0,4.0,A+,True,1
1610079,CS,002990,Lập Trình Hướng Sự Kiện với Công Nghệ .NET,HK1 (2018-2019),1,2018-2019,10.0,4.0,A+,True,1
1810064,CS,004119,Lập trình hướng đối tượng,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,1
1710047,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,1
1810022,CS,001730,Automat & ngôn ngữ hình thức,HK1 (2020-2021),1,2020-2021,9.9,4.0,A+,True,1
1610085,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2018-2019),1,2018-2019,9.9,4.0,A+,True,1
2010069,CS,003952,Tiếp thị điện tử,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,0
1710017,CS,004024,Nhập môn dữ liệu lớn,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,1
1610056,CS,001730,Automat & ngôn ngữ hình thức,HK1 (2018-2019),1,2018-2019,9.9,4.0,A+,True,1
1910024,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2021-2022),1,2021-2022,9.9,4.0,A+,True,1
2010075,CS,014235,Ngôn ngữ R,HK1 (2021-2022),1,2021-2022,9.9,4.0,A+,True,1
1710062,CS,002804,Lập trình phân tán với công nghệ Java,HK1 (2020-2021),1,2020-2021,9.9,4.0,A+,True,1
1610006,CS,002990,Lập Trình Hướng Sự Kiện với Công Nghệ .NET,HK1 (2018-2019),1,2018-2019,9.9,4.0,A+,True,1
2010087,CS,004119,Lập trình hướng đối tượng,HK2 (2021-2022),2,2021-2022,9.9,4.0,A+,True,1
1610086,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2018-2019),1,2018-2019,9.9,4.0,A+,True,1
1810065,CS,015458,Kiến trúc hướng dịch vụ và Điện toán đám mây,HK2 (2021-2022),2,2021-2022,9.9,4.0,A+,True,1
1710055,CS,004196,Quản lý dự án CNTT,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,1
2010089,CS,003406,Lập trình Phân Tán Công Nghệ .NET,HK1 (2023-2024),1,2023-2024,9.9,4.0,A+,True,1
1910017,CS,002990,Lập Trình Hướng Sự Kiện với Công Nghệ .NET,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,1
1610027,CS,004119,Lập trình hướng đối tượng,HK2 (2017-2018),2,2017-2018,9.8,4.0,A+,True,1
1810015,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,1
1710039,CS,004024,Nhập môn dữ liệu lớn,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,1
1610037,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2018-2019),1,2018-2019,9.8,4.0,A+,True,1
1610037,CS,003952,Tiếp thị điện tử,HK2 (2018-2019),2,2018-2019,9.8,4.0,A+,True,0
1910017,CS,003406,Lập trình Phân Tán Công Nghệ .NET,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
1710002,CS,003953,Lập trình phân tích dữ liệu 2,HK1 (2019-2020),1,2019-2020,9.8,4.0,A+,True,1
1810087,CS,015036,Ngôn ngữ lập trình,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,1
1810022,CS,002804,Lập trình phân tán với công nghệ Java,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,1
2010069,CS,002876,Lập Trình Hướng Sự Kiện với Công Nghệ Java,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
2010089,CS,001479,Địa lí kinh tế,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,0
1610096,CS,014234,Tính toán số & Matlab,HK1 (2017-2018),1,2017-2018,9.8,4.0,A+,True,1
1810022,CS,004119,Lập trình hướng đối tượng,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,1
1610086,CS,014235,Ngôn ngữ R,HK1 (2017-2018),1,2017-2018,9.8,4.0,A+,True,1
2010089,CS,002990,Lập Trình Hướng Sự Kiện với Công Nghệ .NET,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
1810052,CS,004021,Lập trình GUI với Qt Framework,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,1
2010087,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
1810070,CS,001758,Phân tích thiết kế giải thuật,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,1
1910014,CS,014181,Hệ quản trị CSDL NoSQL MongoDB,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,1
1810004,CS,002990,Lập Trình Hướng Sự Kiện với Công Nghệ .NET,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,1
1910024,CS,004119,Lập trình hướng đối tượng,HK2 (2020-2021),2,2020-2021,9.8,4.0,A+,True,1
2010049,CS,003633,Tiếng Việt thực hành,HK1 (2023-2024),1,2023-2024,9.8,4.0,A+,True,0
1810004,CS,003697,Toán ứng dụng,HK2 (2018-2019),2,2018-2019,9.8,4.0,A+,True,0
