IDSinhVien,nganh,so_mon_total,so_mon_dat_total,diem_tb_total,gpa_thang4,so_mon_cntt,so_mon_dat_cntt
1610001,CS,11,11,8.15,3.5,6.0,6.0
1610002,CS,12,12,7.5,2.98,8.0,8.0
1610003,CS,5,5,6.24,2.25,4.0,4.0
1610004,CS,6,6,7.8,3.0,4.0,4.0
1610005,CS,8,8,7.86,3.16,5.0,5.0
1610006,CS,12,12,9.28,3.95,11.0,11.0
1610007,CS,11,11,8.49,3.76,7.0,7.0
1610008,CS,11,11,6.56,2.64,7.0,7.0
1610009,CS,12,11,5.63,1.95,11.0,10.0
1610010,CS,8,8,6.78,2.5,5.0,5.0
1610011,CS,9,9,8.62,3.76,9.0,9.0
1610012,CS,6,6,7.17,2.88,4.0,4.0
1610013,CS,12,12,7.47,3.03,11.0,11.0
1610014,CS,6,6,9.4,4.0,4.0,4.0
1610015,CS,9,2,3.56,1.0,6.0,2.0
1610016,CS,5,3,4.8,1.25,4.0,2.0
1610017,CS,9,9,6.31,2.25,6.0,6.0
1610018,CS,10,5,4.68,1.08,6.0,1.0
1610019,CS,11,11,7.56,3.07,11.0,11.0
1610020,CS,10,10,7.6,3.08,6.0,6.0
1610021,CS,10,10,6.22,2.4,10.0,10.0
1610022,CS,10,10,8.44,3.64,10.0,10.0
1610023,CS,10,10,7.67,3.0,6.0,6.0
1610024,CS,12,11,5.2,1.55,11.0,10.0
1610025,CS,12,12,6.24,2.19,8.0,8.0
1610026,CS,6,6,7.28,3.0,4.0,4.0
1610027,CS,12,12,8.95,3.79,10.0,10.0
1610028,CS,9,9,8.86,3.82,6.0,6.0
1610029,CS,12,12,7.35,2.93,7.0,7.0
1610030,CS,5,5,8.46,3.65,4.0,4.0
1610031,CS,11,11,6.38,2.5,10.0,10.0
1610032,CS,12,12,5.68,2.0,8.0,8.0
1610033,CS,7,0,2.16,0.0,5.0,0.0
1610034,CS,11,11,7.25,2.88,8.0,8.0
1610035,CS,10,0,4.06,0.67,6.0,0.0
1610036,CS,11,11,7.17,2.81,8.0,8.0
1610037,CS,11,11,9.25,3.97,6.0,6.0
1610038,CS,11,11,6.49,2.44,9.0,9.0
1610039,CS,6,6,7.23,2.8,5.0,5.0
1610040,CS,10,10,7.46,3.07,7.0,7.0
1610041,CS,12,12,6.24,2.43,7.0,7.0
1610042,CS,11,0,2.48,0.12,8.0,0.0
1610043,CS,11,11,6.51,2.61,9.0,9.0
1610044,CS,9,9,8.64,3.84,5.0,5.0
1610045,CS,11,11,8.09,3.44,10.0,10.0
1610046,CS,10,10,7.69,3.18,10.0,10.0
1610047,CS,12,12,7.15,2.75,8.0,8.0
1610048,CS,8,8,6.42,2.3,5.0,5.0
1610049,CS,6,6,6.5,2.5,4.0,4.0
1610050,CS,9,9,8.53,3.7,9.0,9.0
1610051,CS,8,7,5.8,1.8,5.0,4.0
1610052,CS,12,12,7.45,3.0,10.0,10.0
1610053,CS,12,12,6.61,2.5,7.0,7.0
1610054,CS,9,8,5.42,1.6,5.0,4.0
1610055,CS,10,7,4.73,1.35,10.0,7.0
1610056,CS,12,12,8.83,3.75,10.0,10.0
1610057,CS,6,6,5.6,2.0,4.0,4.0
1610058,CS,6,6,8.23,3.5,4.0,4.0
1610059,CS,10,10,7.32,2.93,7.0,7.0
1610060,CS,9,9,7.43,3.0,9.0,9.0
1610061,CS,12,12,5.88,2.14,11.0,11.0
1610062,CS,5,5,6.38,2.5,4.0,4.0
1610063,CS,6,6,6.53,2.5,4.0,4.0
1610064,CS,9,9,8.19,3.3,6.0,6.0
1610065,CS,5,5,7.2,3.0,4.0,4.0
1610066,CS,8,7,5.88,2.12,8.0,7.0
1610067,CS,8,8,7.29,2.9,5.0,5.0
1610068,CS,6,6,6.15,2.4,5.0,5.0
1610069,CS,12,12,7.39,3.04,7.0,7.0
1610070,CS,8,8,6.62,2.5,8.0,8.0
1610071,CS,10,10,5.76,2.08,6.0,6.0
1610072,CS,10,10,7.29,3.0,5.0,5.0
1610073,CS,10,9,5.27,1.58,6.0,6.0
1610074,CS,8,8,9.2,3.95,8.0,8.0
1610075,CS,12,12,6.6,2.36,7.0,7.0
1610076,CS,11,11,6.89,2.75,8.0,8.0
1610077,CS,11,11,5.85,2.15,10.0,10.0
1610078,CS,10,10,6.85,2.93,7.0,7.0
1610079,CS,11,11,8.13,3.47,6.0,6.0
1610080,CS,12,12,7.32,2.95,10.0,10.0
1610081,CS,9,9,7.3,2.92,6.0,6.0
1610082,CS,11,11,6.37,2.33,6.0,6.0
1610083,CS,9,6,4.9,1.39,9.0,6.0
1610084,CS,11,10,5.17,1.5,6.0,6.0
1610085,CS,5,5,9.36,4.0,4.0,4.0
1610086,CS,9,9,9.48,3.96,9.0,9.0
1610087,CS,12,12,6.43,2.5,10.0,10.0
1610088,CS,9,9,7.17,2.92,6.0,6.0
1610089,CS,5,3,4.8,1.38,4.0,3.0
1610090,CS,12,12,6.35,2.56,8.0,8.0
1610091,CS,12,12,7.32,3.06,8.0,8.0
1610092,CS,9,9,6.76,2.67,6.0,6.0
1610093,CS,11,7,5.06,1.44,8.0,5.0
1610094,CS,7,7,9.14,3.82,5.0,5.0
1610095,CS,9,9,7.59,3.11,9.0,9.0
1610096,CS,11,11,9.38,3.93,7.0,7.0
1610097,CS,7,7,7.31,2.9,5.0,5.0
1610098,CS,12,11,5.27,1.55,11.0,11.0
1610099,CS,9,9,7.29,2.92,6.0,6.0
1610100,CS,11,11,5.96,2.14,7.0,7.0
1710001,CS,9,9,6.53,2.5,6.0,6.0
1710002,CS,7,7,8.99,3.86,5.0,5.0
1710003,CS,9,9,8.26,3.65,6.0,6.0
1710004,CS,11,11,7.06,2.88,8.0,8.0
1710005,CS,6,6,8.3,3.62,5.0,5.0
1710006,CS,10,1,3.29,0.65,10.0,1.0
1710007,CS,12,1,2.79,0.36,7.0,1.0
1710008,CS,12,10,5.07,1.44,8.0,6.0
1710009,CS,12,1,3.9,0.71,7.0,0.0
1710010,CS,9,9,6.37,2.39,9.0,9.0
1710011,CS,5,5,7.58,3.12,4.0,4.0
1710012,CS,12,12,7.08,2.75,8.0,8.0
1710013,CS,6,6,7.02,2.62,4.0,4.0
1710014,CS,10,10,8.19,3.48,9.0,9.0
1710015,CS,12,12,8.13,3.51,7.0,7.0
1710016,CS,10,10,5.74,2.0,9.0,9.0
1710017,CS,8,8,9.3,3.91,8.0,8.0
1710018,CS,11,11,5.7,1.92,6.0,6.0
1710019,CS,10,10,7.57,3.11,7.0,7.0
1710020,CS,11,11,6.97,2.72,9.0,9.0
1710021,CS,11,2,4.15,1.08,6.0,1.0
1710022,CS,11,11,6.64,2.5,6.0,6.0
1710023,CS,10,10,6.75,2.6,10.0,10.0
1710024,CS,11,11,5.89,2.09,11.0,11.0
1710025,CS,12,12,6.32,2.31,8.0,8.0
1710026,CS,12,12,7.97,3.31,8.0,8.0
1710027,CS,10,10,7.31,2.9,5.0,5.0
1710028,CS,8,0,3.18,0.0,5.0,0.0
1710029,CS,5,5,6.38,2.25,4.0,4.0
1710030,CS,6,4,5.1,1.5,5.0,4.0
1710031,CS,10,8,5.47,1.92,6.0,5.0
1710032,CS,12,12,6.48,2.64,7.0,7.0
1710033,CS,11,11,7.48,3.17,9.0,9.0
1710034,CS,6,6,5.55,1.9,5.0,5.0
1710035,CS,12,12,8.71,3.69,10.0,10.0
