IDSinhVien,nganh,MaMonHoc,TenMonHoc,TenDot,hk_so,nam_hoc,DiemTongKet,DiemTongKet4,DiemChu,dat,ThuocKCNTT
1720052,DS,015300,Ứng dụng 5S và Kaizen trong sản xuất,HK1 (2018-2019),1,2018-2019,10.0,4.0,A+,True,0
1720052,DS,001111,Công nghệ phần mềm,HK2 (2019-2020),2,2019-2020,10.0,4.0,A+,True,1
2020042,DS,015296,Công nghệ thông tin trong chuyển đổi số,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,1
1820018,DS,003194,Hội họa,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,0
1820068,DS,003592,Đảm bảo chất lượng và Kiểm thử phần mềm,HK2 (2021-2022),2,2021-2022,10.0,4.0,A+,True,1
1820006,DS,003194,Hội họa,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,0
1820006,DS,014062,Giải thuật và tối ưu hóa phân tán,HK2 (2019-2020),2,2019-2020,10.0,4.0,A+,True,1
1720001,DS,014062,Giải thuật và tối ưu hóa phân tán,HK2 (2018-2019),2,2018-2019,10.0,4.0,A+,True,1
1720081,DS,014117,Lý thuyết trò chơi,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,1
1820068,DS,001111,Công nghệ phần mềm,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1620084,DS,014113,Giao dịch định lượng,HK2 (2018-2019),2,2018-2019,10.0,4.0,A+,True,0
2020042,DS,014110,Phân tích chuỗi thời gian,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,1
1820086,DS,015296,Công nghệ thông tin trong chuyển đổi số,HK1 (2019-2020),1,2019-2020,10.0,4.0,A+,True,1
1820083,DS,014119,Phân tích dữ liệu Bayesian,HK2 (2021-2022),2,2021-2022,10.0,4.0,A+,True,1
1820083,DS,014115,Khai phá đồ thị,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1620052,DS,003195,Xã hội học,HK1 (2019-2020),1,2019-2020,10.0,4.0,A+,True,0
1820079,DS,014114,Tính toán song song,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1820079,DS,014110,Phân tích chuỗi thời gian,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,1
1620012,DS,014115,Khai phá đồ thị,HK2 (2018-2019),2,2018-2019,10.0,4.0,A+,True,1
1920044,DS,003194,Hội họa,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,0
2020070,DS,014119,Phân tích dữ liệu Bayesian,HK2 (2023-2024),2,2023-2024,10.0,4.0,A+,True,1
1920094,DS,003245,Tiếng Việt thực hành,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,0
1920093,DS,014110,Phân tích chuỗi thời gian,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,1
1620025,DS,014114,Tính toán song song,HK2 (2018-2019),2,2018-2019,10.0,4.0,A+,True,1
2020008,DS,014113,Giao dịch định lượng,HK2 (2022-2023),2,2022-2023,10.0,4.0,A+,True,0
1920008,DS,014107,Các ngôn ngữ truy vấn cơ sở dữ liệu,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1620020,DS,003195,Xã hội học,HK1 (2019-2020),1,2019-2020,10.0,4.0,A+,True,0
1920003,DS,014110,Phân tích chuỗi thời gian,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,1
1620025,DS,014121,Giải tích ngẫu nhiên cho tài chính,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,0
1920094,DS,014120,Phân tích kinh doanh,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,0
1920022,DS,014064,Đại số tuyến tính tính toán,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,1
1920022,DS,014122,Xử lý ảnh,HK1 (2021-2022),1,2021-2022,9.9,4.0,A+,True,1
1920008,DS,014106,Quá trình ngẫu nhiên,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,1
2020092,DS,014111,Kỹ thuật tài chính,HK1 (2022-2023),1,2022-2023,9.9,4.0,A+,True,0
1820088,DS,014062,Giải thuật và tối ưu hóa phân tán,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,1
1620077,DS,014117,Lý thuyết trò chơi,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,1
1820019,DS,014114,Tính toán song song,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,1
1820018,DS,015300,Ứng dụng 5S và Kaizen trong sản xuất,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,0
1820064,DS,001111,Công nghệ phần mềm,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,1
2020089,DS,003395,Logic học,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,0
1820079,DS,001076,Tương tác người máy,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,1
1920045,DS,014120,Phân tích kinh doanh,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,0
1620025,DS,014064,Đại số tuyến tính tính toán,HK2 (2017-2018),2,2017-2018,9.9,4.0,A+,True,1
1920094,DS,014119,Phân tích dữ liệu Bayesian,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,1
1720084,DS,003194,Hội họa,HK1 (2020-2021),1,2020-2021,9.9,4.0,A+,True,0
2020042,DS,014122,Xử lý ảnh,HK1 (2022-2023),1,2022-2023,9.9,4.0,A+,True,1
1620090,DS,014122,Xử lý ảnh,HK1 (2018-2019),1,2018-2019,9.9,4.0,A+,True,1
1620077,DS,015296,Công nghệ thông tin trong chuyển đổi số,HK1 (2017-2018),1,2017-2018,9.9,4.0,A+,True,1
1720013,DS,014115,Khai phá đồ thị,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,1
2020010,DS,001103,Địa lý kinh tế,HK1 (2021-2022),1,2021-2022,9.9,4.0,A+,True,0
2020049,DS,014106,Quá trình ngẫu nhiên,HK2 (2021-2022),2,2021-2022,9.9,4.0,A+,True,1
1620012,DS,001111,Công nghệ phần mềm,HK2 (2018-2019),2,2018-2019,9.9,4.0,A+,True,1
1620052,DS,001111,Công nghệ phần mềm,HK2 (2018-2019),2,2018-2019,9.9,4.0,A+,True,1
1620052,DS,001103,Địa lý kinh tế,HK1 (2017-2018),1,2017-2018,9.9,4.0,A+,True,0
1820088,DS,001004,Nhập môn an toàn thông tin,HK1 (2021-2022),1,2021-2022,9.9,4.0,A+,True,1
1720001,DS,003395,Logic học,HK2 (2017-2018),2,2017-2018,9.9,4.0,A+,True,0
1720029,DS,003395,Logic học,HK2 (2017-2018),2,2017-2018,9.9,4.0,A+,True,0
1620088,DS,014119,Phân tích dữ liệu Bayesian,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,1
1620012,DS,014063,Trực quan hóa dữ liệu,HK2 (2017-2018),2,2017-2018,9.8,4.0,A+,True,1
1820068,DS,014115,Khai phá đồ thị,HK2 (2020-2021),2,2020-2021,9.8,4.0,A+,True,1
1820019,DS,014110,Phân tích chuỗi thời gian,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,1
1820019,DS,014122,Xử lý ảnh,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,1
1720052,DS,003203,Âm nhạc – Nhạc lý và Guitar căn bản,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1720029,DS,015299,Ứng dụng hóa học trong Công nghiệp,HK1 (2018-2019),1,2018-2019,9.8,4.0,A+,True,0
1620003,DS,014062,Giải thuật và tối ưu hóa phân tán,HK2 (2017-2018),2,2017-2018,9.8,4.0,A+,True,1
1620065,DS,014107,Các ngôn ngữ truy vấn cơ sở dữ liệu,HK2 (2017-2018),2,2017-2018,9.8,4.0,A+,True,1
1820018,DS,014193,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,0
1720086,DS,001111,Công nghệ phần mềm,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,1
1720011,DS,003592,Đảm bảo chất lượng và Kiểm thử phần mềm,HK2 (2020-2021),2,2020-2021,9.8,4.0,A+,True,1
2020042,DS,014117,Lý thuyết trò chơi,HK1 (2023-2024),1,2023-2024,9.8,4.0,A+,True,1
2020042,DS,014114,Tính toán song song,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,1
2020049,DS,014107,Các ngôn ngữ truy vấn cơ sở dữ liệu,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,1
1920099,DS,014120,Phân tích kinh doanh,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,0
1620020,DS,014106,Quá trình ngẫu nhiên,HK2 (2017-2018),2,2017-2018,9.8,4.0,A+,True,1
2020059,DS,014107,Các ngôn ngữ truy vấn cơ sở dữ liệu,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,1
1920068,DS,014122,Xử lý ảnh,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,1
1920085,DS,003592,Đảm bảo chất lượng và Kiểm thử phần mềm,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,1
1620042,DS,014112,Nhập môn Robot,HK2 (2018-2019),2,2018-2019,9.8,4.0,A+,True,1
2020019,DS,014106,Quá trình ngẫu nhiên,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,1
1920033,DS,014117,Lý thuyết trò chơi,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
1620020,DS,014064,Đại số tuyến tính tính toán,HK2 (2017-2018),2,2017-2018,9.8,4.0,A+,True,1
1720052,DS,014119,Phân tích dữ liệu Bayesian,HK2 (2020-2021),2,2020-2021,9.8,4.0,A+,True,1
1720013,DS,003325,Tâm lý học đại cương,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1620052,DS,003345,Vật lý đại cương,HK2 (2016-2017),2,2016-2017,9.8,4.0,A+,True,0
1820086,DS,003193,Toán ứng dụng,HK2 (2018-2019),2,2018-2019,9.8,4.0,A+,True,0
1920003,DS,014116,Hệ khuyến nghị,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
