IDSinhVien,nganh,so_mon_total,so_mon_dat_total,diem_tb_total,gpa_thang4,so_mon_cntt,so_mon_dat_cntt
1620001,DS,11,11,6.7,2.6,10.0,10.0
1620002,DS,11,11,7.54,3.13,6.0,6.0
1620003,DS,12,12,8.8,3.83,10.0,10.0
1620004,DS,4,4,7.95,3.27,3.0,3.0
1620005,DS,10,10,6.19,2.5,5.0,5.0
1620006,DS,9,9,7.09,2.9,5.0,5.0
1620007,DS,10,1,2.89,0.39,9.0,1.0
1620008,DS,4,2,4.75,1.33,3.0,2.0
1620009,DS,10,10,7.82,3.25,6.0,6.0
1620010,DS,8,8,6.29,2.2,5.0,5.0
1620011,DS,11,11,8.02,3.39,9.0,9.0
1620012,DS,9,9,9.49,3.98,9.0,9.0
1620013,DS,12,12,8.47,3.71,8.0,8.0
1620014,DS,10,10,7.31,2.94,8.0,8.0
1620015,DS,5,5,7.32,3.0,4.0,4.0
1620016,DS,5,0,2.76,0.33,3.0,0.0
1620017,DS,4,4,8.62,3.8,3.0,3.0
1620018,DS,10,10,7.89,3.35,8.0,8.0
1620019,DS,11,0,3.52,0.57,7.0,0.0
1620020,DS,9,9,9.49,3.96,5.0,5.0
1620021,DS,11,11,7.87,3.33,9.0,9.0
1620022,DS,8,8,8.17,3.42,5.0,5.0
1620023,DS,11,11,7.24,2.94,11.0,11.0
1620024,DS,10,10,6.65,2.5,6.0,6.0
1620025,DS,5,5,9.56,3.95,4.0,4.0
1620026,DS,12,12,7.42,3.07,7.0,7.0
1620027,DS,8,2,4.05,1.3,5.0,2.0
1620028,DS,11,11,8.3,3.52,6.0,6.0
1620029,DS,12,12,7.18,2.83,10.0,10.0
1620030,DS,6,6,7.45,3.0,5.0,5.0
1620031,DS,9,1,4.19,0.94,9.0,1.0
1620032,DS,12,11,5.27,1.55,10.0,9.0
1620033,DS,9,8,5.58,1.89,9.0,8.0
1620034,DS,12,12,6.38,2.57,7.0,7.0
1620035,DS,11,11,7.37,2.97,7.0,7.0
1620036,DS,10,10,6.33,2.19,8.0,8.0
1620037,DS,11,11,5.68,2.0,6.0,6.0
1620038,DS,4,4,8.3,3.5,3.0,3.0
1620039,DS,4,4,6.95,2.83,3.0,3.0
1620040,DS,8,8,7.28,2.8,5.0,5.0
1620041,DS,12,12,7.67,3.19,7.0,7.0
1620042,DS,7,7,9.06,3.86,5.0,5.0
1620043,DS,10,10,7.05,2.9,5.0,5.0
1620044,DS,10,2,4.76,1.1,10.0,2.0
1620045,DS,11,1,3.78,1.17,6.0,1.0
1620046,DS,12,12,6.28,2.36,7.0,7.0
1620047,DS,12,12,7.83,3.43,7.0,7.0
1620048,DS,11,11,5.95,2.33,6.0,6.0
1620049,DS,9,1,3.97,0.67,6.0,0.0
1620050,DS,12,12,8.04,3.36,7.0,7.0
1620051,DS,6,6,8.17,3.32,4.0,4.0
1620052,DS,10,10,9.62,4.0,5.0,5.0
1620053,DS,12,12,7.27,2.85,10.0,10.0
1620054,DS,6,6,6.85,2.7,5.0,5.0
1620055,DS,9,9,9.17,3.92,8.0,8.0
1620056,DS,5,5,6.84,2.62,4.0,4.0
1620057,DS,12,3,4.18,0.95,10.0,3.0
1620058,DS,6,6,7.03,2.88,4.0,4.0
1620059,DS,10,8,5.58,1.86,7.0,5.0
1620060,DS,12,12,7.52,3.07,11.0,11.0
1620061,DS,9,9,7.63,3.1,8.0,8.0
1620062,DS,11,11,6.4,2.36,7.0,7.0
1620063,DS,9,9,5.79,2.0,6.0,6.0
1620064,DS,10,2,4.51,1.06,9.0,2.0
1620065,DS,12,12,8.53,3.64,8.0,8.0
1620066,DS,5,5,6.8,2.88,4.0,4.0
1620067,DS,9,9,7.24,2.94,9.0,9.0
1620068,DS,5,5,6.6,2.67,3.0,3.0
1620069,DS,11,11,7.38,3.0,10.0,10.0
1620070,DS,10,10,7.61,3.13,6.0,6.0
1620071,DS,5,0,1.42,0.0,3.0,0.0
1620072,DS,9,9,7.36,2.94,8.0,8.0
1620073,DS,6,6,7.38,3.0,5.0,5.0
1620074,DS,11,11,7.12,2.9,10.0,10.0
1620075,DS,10,10,6.97,2.71,7.0,7.0
1620076,DS,12,12,7.64,3.2,10.0,10.0
1620077,DS,11,11,8.92,3.8,10.0,10.0
1620078,DS,9,9,5.68,1.8,5.0,5.0
1620079,DS,12,12,7.56,3.11,7.0,7.0
1620080,DS,10,10,6.42,2.42,6.0,6.0
1620081,DS,12,12,6.85,2.75,8.0,8.0
1620082,DS,12,11,5.49,1.93,7.0,7.0
1620083,DS,11,0,2.42,0.14,7.0,0.0
1620084,DS,12,12,8.89,3.71,7.0,7.0
1620085,DS,5,5,5.64,2.0,3.0,3.0
1620086,DS,11,11,6.0,2.25,10.0,10.0
1620087,DS,11,1,2.72,0.32,11.0,1.0
1620088,DS,4,4,9.35,4.0,3.0,3.0
1620089,DS,11,11,8.14,3.5,7.0,7.0
1620090,DS,9,9,9.23,3.88,6.0,6.0
1620091,DS,9,9,7.74,3.17,6.0,6.0
1620092,DS,10,10,6.48,2.5,6.0,6.0
1620093,DS,8,5,5.0,1.38,8.0,5.0
1620094,DS,11,0,1.98,0.0,6.0,0.0
1620095,DS,12,12,8.28,3.54,7.0,7.0
1620096,DS,12,10,5.02,1.64,7.0,6.0
1620097,DS,12,12,7.29,3.07,7.0,7.0
1620098,DS,11,11,7.47,3.1,8.0,8.0
1620099,DS,11,11,6.28,2.5,7.0,7.0
1620100,DS,9,9,7.74,3.13,6.0,6.0
1720001,DS,12,12,9.29,3.97,7.0,7.0
1720002,DS,9,9,7.39,2.83,6.0,6.0
1720003,DS,6,6,7.7,3.12,4.0,4.0
1720004,DS,11,11,7.47,2.93,7.0,7.0
1720005,DS,10,10,7.39,3.05,10.0,10.0
1720006,DS,11,11,7.6,3.14,7.0,7.0
1720007,DS,10,10,5.96,2.3,5.0,5.0
1720008,DS,12,12,8.17,3.44,7.0,7.0
1720009,DS,10,10,6.53,2.5,9.0,9.0
1720010,DS,12,12,5.83,2.07,7.0,7.0
1720011,DS,8,8,9.0,3.86,5.0,5.0
1720012,DS,6,6,8.03,3.45,4.0,4.0
1720013,DS,9,9,8.86,3.74,8.0,8.0
1720014,DS,8,8,7.52,3.1,5.0,5.0
1720015,DS,8,8,8.4,3.6,5.0,5.0
1720016,DS,6,6,7.07,2.88,4.0,4.0
1720017,DS,11,11,6.9,2.88,8.0,8.0
1720018,DS,12,12,6.38,2.41,11.0,11.0
1720019,DS,12,12,7.68,3.3,7.0,7.0
1720020,DS,11,11,8.08,3.45,8.0,8.0
1720021,DS,5,0,2.16,0.0,4.0,0.0
1720022,DS,9,9,7.31,2.94,9.0,9.0
1720023,DS,8,8,7.11,2.88,8.0,8.0
1720024,DS,12,12,6.48,2.38,8.0,8.0
1720025,DS,5,3,5.14,1.5,4.0,3.0
1720026,DS,9,9,8.18,3.58,8.0,8.0
1720027,DS,11,11,7.21,2.93,7.0,7.0
1720028,DS,10,10,8.32,3.44,9.0,9.0
1720029,DS,10,10,8.82,3.62,5.0,5.0
1720030,DS,11,11,6.54,2.64,7.0,7.0
1720031,DS,10,10,6.56,2.5,8.0,8.0
1720032,DS,5,5,8.54,3.7,3.0,3.0
1720033,DS,8,8,7.55,3.1,5.0,5.0
1720034,DS,10,10,7.69,3.19,8.0,8.0
1720035,DS,5,4,5.96,1.88,4.0,3.0
1720036,DS,12,12,8.17,3.44,7.0,7.0
1720037,DS,4,4,5.62,2.0,3.0,3.0
1720038,DS,11,11,6.46,2.5,10.0,10.0
1720039,DS,10,10,7.53,3.07,7.0,7.0
1720040,DS,9,9,8.38,3.7,6.0,6.0
1720041,DS,11,11,7.17,2.73,11.0,11.0
1720042,DS,10,10,6.71,2.44,8.0,8.0
