IDSinhVien,nganh,MaMonHoc,TenMonHoc,TenDot,hk_so,nam_hoc,DiemTongKet,DiemTongKet4,DiemChu,dat,ThuocKCNTT
1709269,IS,003395,Logic học,HK1 (2023-2024),1,2023-2024,10.0,4.0,A+,True,0
1688184,IS,003245,Tiếng Việt thực hành,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,0
1703501,IS,003345,Vật lý đại cương,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,0
1695692,IS,003245,Tiếng Việt thực hành,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,0
1703994,IS,003345,Vật lý đại cương,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,0
1727206,IS,003320,Phương pháp tính,HK2 (2022-2023),2,2022-2023,10.0,4.0,A+,True,0
1710260,IS,003345,Vật lý đại cương,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,0
1706257,IS,003345,Vật lý đại cương,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,0
1699674,IS,003245,Tiếng Việt thực hành,HK2 (2021-2022),2,2021-2022,9.9,4.0,A+,True,0
1718052,IS,003245,Tiếng Việt thực hành,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,0
1684709,IS,003245,Tiếng Việt thực hành,HK1 (2020-2021),1,2020-2021,9.9,4.0,A+,True,0
1693811,IS,003193,Toán ứng dụng,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,0
1701011,IS,003320,Phương pháp tính,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,0
1691713,IS,003345,Vật lý đại cương,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,0
1709960,IS,002330,Lập trình phân tích dữ liệu 2,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,1
1713225,IS,003320,Phương pháp tính,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,0
1693185,IS,003320,Phương pháp tính,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,0
1703501,IS,003245,Tiếng Việt thực hành,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,0
1710287,IS,003245,Tiếng Việt thực hành,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,0
1687411,IS,003203,Âm nhạc – Nhạc lý và Guitar căn bản,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1729391,IS,003345,Vật lý đại cương,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,0
1729567,IS,003320,Phương pháp tính,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,0
1693515,IS,003203,Âm nhạc – Nhạc lý và Guitar căn bản,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1712188,IS,003245,Tiếng Việt thực hành,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,0
1735608,IS,003320,Phương pháp tính,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,0
1697221,IS,003206,Môi trường và con người,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1701251,IS,003245,Tiếng Việt thực hành,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,0
1718354,IS,003245,Tiếng Việt thực hành,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,0
1727699,IS,003345,Vật lý đại cương,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,0
1720643,IS,003245,Tiếng Việt thực hành,HK2 (2022-2023),2,2022-2023,9.8,4.0,A+,True,0
1705691,IS,003395,Logic học,HK2 (2020-2021),2,2020-2021,9.7,4.0,A+,True,0
1700184,IS,003245,Tiếng Việt thực hành,HK2 (2021-2022),2,2021-2022,9.7,4.0,A+,True,0
1700184,IS,003591,Lập trình hướng đối tượng,HK1 (2021-2022),1,2021-2022,9.7,4.0,A+,True,1
1728569,IS,003345,Vật lý đại cương,HK2 (2022-2023),2,2022-2023,9.7,4.0,A+,True,0
1695621,IS,003197,Kỹ năng xây dựng kế hoạch,HK2 (2020-2021),2,2020-2021,9.7,4.0,A+,True,0
1721096,IS,003245,Tiếng Việt thực hành,HK2 (2022-2023),2,2022-2023,9.7,4.0,A+,True,0
1703303,IS,003395,Logic học,HK2 (2020-2021),2,2020-2021,9.7,4.0,A+,True,0
1701643,IS,002329,Nhập môn dữ liệu lớn,HK1 (2023-2024),1,2023-2024,9.7,4.0,A+,True,0
1718122,IS,003245,Tiếng Việt thực hành,HK2 (2022-2023),2,2022-2023,9.7,4.0,A+,True,0
1727001,IS,003206,Môi trường và con người,HK1 (2023-2024),1,2023-2024,9.7,4.0,A+,True,0
1705081,IS,003395,Logic học,HK2 (2020-2021),2,2020-2021,9.7,4.0,A+,True,0
