IDSinhVien,nganh,MaMonHoc,TenMonHoc,TenDot,hk_so,nam_hoc,DiemTongKet,DiemTongKet4,DiemChu,dat,ThuocKCNTT
2033511,IT,014192,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,HK1 (2023-2024),1,2023-2024,10.0,4.0,A+,True,0
1934762,IT,015010,Phát triển ứng dụng WEB,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,1
1639367,IT,015017,Kiến trúc lưu trữ phân tán,HK2 (2017-2018),2,2017-2018,10.0,4.0,A+,True,1
2034694,IT,015006,Cơ sở dữ liệu phân tán,HK2 (2021-2022),2,2021-2022,10.0,4.0,A+,True,1
1930565,IT,015004,Quản trị dịch vụ mạng,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,1
1839955,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,1
2037602,IT,015400,Công nghệ thông tin trong chuyển đổi số,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,1
1835108,IT,001954,Trí tuệ nhân tạo,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1935991,IT,003605,Phương pháp tính,HK2 (2019-2020),2,2019-2020,10.0,4.0,A+,True,0
1634136,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2018-2019),1,2018-2019,10.0,4.0,A+,True,1
1638154,IT,015006,Cơ sở dữ liệu phân tán,HK2 (2017-2018),2,2017-2018,10.0,4.0,A+,True,1
2030512,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,1
1638438,IT,001479,Địa lí kinh tế,HK1 (2017-2018),1,2017-2018,9.9,4.0,A+,True,0
1934665,IT,015013,Quản lý dự án hệ thống thông tin,HK2 (2021-2022),2,2021-2022,9.9,4.0,A+,True,1
1730444,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,1
1739207,IT,015006,Cơ sở dữ liệu phân tán,HK2 (2018-2019),2,2018-2019,9.9,4.0,A+,True,1
1835814,IT,015003,Truyền số liệu,HK1 (2021-2022),1,2021-2022,9.9,4.0,A+,True,1
1833499,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2020-2021),1,2020-2021,9.9,4.0,A+,True,1
2034694,IT,015012,Mạng không dây,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,1
1836700,IT,015013,Quản lý dự án hệ thống thông tin,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,1
1638613,IT,003733,Cơ sở văn hóa Việt Nam,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,0
1933049,IT,004022,Lập trình phân tích dữ liệu 1,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,1
1630804,IT,001954,Trí tuệ nhân tạo,HK2 (2018-2019),2,2018-2019,9.9,4.0,A+,True,1
1630804,IT,015006,Cơ sở dữ liệu phân tán,HK2 (2017-2018),2,2017-2018,9.9,4.0,A+,True,1
1833528,IT,015396,Ứng dụng 5S và Kaizen trong sản xuất,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,0
2038460,IT,015010,Phát triển ứng dụng WEB,HK1 (2022-2023),1,2022-2023,9.9,4.0,A+,True,1
1632025,IT,003697,Toán ứng dụng,HK2 (2016-2017),2,2016-2017,9.9,4.0,A+,True,0
2035322,IT,015016,Điện toán đám mây,HK2 (2021-2022),2,2021-2022,9.9,4.0,A+,True,1
1937013,IT,003633,Tiếng Việt thực hành,HK1 (2022-2023),1,2022-2023,9.9,4.0,A+,True,0
1836102,IT,015013,Quản lý dự án hệ thống thông tin,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,1
1739905,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,1
2038649,IT,003664,Xã hội học,HK1 (2023-2024),1,2023-2024,9.9,4.0,A+,True,0
2036867,IT,001954,Trí tuệ nhân tạo,HK2 (2022-2023),2,2022-2023,9.9,4.0,A+,True,1
1938544,IT,003633,Tiếng Việt thực hành,HK1 (2022-2023),1,2022-2023,9.9,4.0,A+,True,0
1733386,IT,015010,Phát triển ứng dụng WEB,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,1
1936332,IT,015433,Kiến trúc và lập trình Web nâng cao,HK1 (2022-2023),1,2022-2023,9.9,4.0,A+,True,1
1835330,IT,003733,Cơ sở văn hóa Việt Nam,HK1 (2021-2022),1,2021-2022,9.9,4.0,A+,True,0
1639664,IT,003783,Hàm phức và phép biến đổi Laplace,HK2 (2016-2017),2,2016-2017,9.9,4.0,A+,True,0
1935164,IT,015006,Cơ sở dữ liệu phân tán,HK2 (2020-2021),2,2020-2021,9.9,4.0,A+,True,1
1639599,IT,015433,Kiến trúc và lập trình Web nâng cao,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,1
1937170,IT,003631,Vật lý đại cương,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,0
1732097,IT,015010,Phát triển ứng dụng WEB,HK1 (2019-2020),1,2019-2020,9.9,4.0,A+,True,1
1830003,IT,003633,Tiếng Việt thực hành,HK1 (2021-2022),1,2021-2022,9.9,4.0,A+,True,0
1634136,IT,015010,Phát triển ứng dụng WEB,HK1 (2018-2019),1,2018-2019,9.9,4.0,A+,True,1
1831969,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2020-2021),1,2020-2021,9.9,4.0,A+,True,1
1639703,IT,004022,Lập trình phân tích dữ liệu 1,HK2 (2019-2020),2,2019-2020,9.9,4.0,A+,True,1
2035715,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
1938493,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,1
2036440,IT,015396,Ứng dụng 5S và Kaizen trong sản xuất,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,0
1934661,IT,015004,Quản trị dịch vụ mạng,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
1832923,IT,003631,Vật lý đại cương,HK2 (2018-2019),2,2018-2019,9.8,4.0,A+,True,0
1734492,IT,015009,Công cụ Web và Website hướng dữ liệu,HK1 (2019-2020),1,2019-2020,9.8,4.0,A+,True,1
1632089,IT,003697,Toán ứng dụng,HK2 (2016-2017),2,2016-2017,9.8,4.0,A+,True,0
1736397,IT,003634,Âm nhạc – Nhạc lý và Guitar căn bản,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1839460,IT,003634,Âm nhạc – Nhạc lý và Guitar căn bản,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,0
2039341,IT,004150,Thương mại điện tử,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,0
1936332,IT,001954,Trí tuệ nhân tạo,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,1
1735431,IT,015400,Công nghệ thông tin trong chuyển đổi số,HK1 (2018-2019),1,2018-2019,9.8,4.0,A+,True,1
1933049,IT,015433,Kiến trúc và lập trình Web nâng cao,HK1 (2022-2023),1,2022-2023,9.8,4.0,A+,True,1
1833499,IT,015021,Hệ thống ảo và Khả năng mở rộng dữ liệu,HK2 (2021-2022),2,2021-2022,9.8,4.0,A+,True,1
1630804,IT,004022,Lập trình phân tích dữ liệu 1,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,1
2030303,IT,003664,Xã hội học,HK1 (2023-2024),1,2023-2024,9.8,4.0,A+,True,0
1739836,IT,003748,Hội Họa,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1732097,IT,001479,Địa lí kinh tế,HK1 (2018-2019),1,2018-2019,9.8,4.0,A+,True,0
1834961,IT,003664,Xã hội học,HK1 (2021-2022),1,2021-2022,9.8,4.0,A+,True,0
1733386,IT,015016,Điện toán đám mây,HK2 (2018-2019),2,2018-2019,9.8,4.0,A+,True,1
1933049,IT,003631,Vật lý đại cương,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,0
1734700,IT,015013,Quản lý dự án hệ thống thông tin,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,1
1733789,IT,003748,Hội Họa,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1735090,IT,015006,Cơ sở dữ liệu phân tán,HK2 (2018-2019),2,2018-2019,9.8,4.0,A+,True,1
1934665,IT,001479,Địa lí kinh tế,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,0
1934665,IT,003605,Phương pháp tính,HK2 (2019-2020),2,2019-2020,9.8,4.0,A+,True,0
1630988,IT,015012,Mạng không dây,HK2 (2018-2019),2,2018-2019,9.8,4.0,A+,True,1
1730119,IT,015433,Kiến trúc và lập trình Web nâng cao,HK1 (2020-2021),1,2020-2021,9.8,4.0,A+,True,1
