IDSinhVien,nganh,so_mon_total,so_mon_dat_total,diem_tb_total,gpa_thang4,so_mon_cntt,so_mon_dat_cntt
1630126,IT,9,9,6.61,2.62,8.0,8.0
1630803,IT,8,5,5.05,1.25,4.0,2.0
1630804,IT,10,10,9.02,3.81,9.0,9.0
1630925,IT,7,7,8.43,3.52,4.0,4.0
1630988,IT,7,7,8.96,3.75,4.0,4.0
1631084,IT,5,5,7.38,3.15,2.0,2.0
1631141,IT,9,9,7.68,3.29,7.0,7.0
1631218,IT,8,4,4.94,1.83,6.0,4.0
1631316,IT,9,9,8.26,3.5,4.0,4.0
1631546,IT,8,8,6.12,2.25,6.0,6.0
1631624,IT,9,8,5.89,2.0,5.0,4.0
1631647,IT,7,7,6.11,1.83,3.0,3.0
1631937,IT,8,8,6.65,2.62,4.0,4.0
1631965,IT,3,1,4.23,0.0,1.0,0.0
1632025,IT,10,10,8.53,3.51,9.0,9.0
1632089,IT,8,8,8.39,3.4,6.0,6.0
1632222,IT,6,6,8.47,3.8,2.0,2.0
1632418,IT,7,6,4.84,1.25,4.0,3.0
1632441,IT,12,12,7.84,3.23,10.0,10.0
1632713,IT,4,4,7.42,3.5,1.0,1.0
1632779,IT,6,6,7.37,2.75,2.0,2.0
1632781,IT,8,6,5.94,1.92,6.0,4.0
1632839,IT,8,8,6.6,2.62,4.0,4.0
1632869,IT,6,6,6.22,2.67,3.0,3.0
1633123,IT,3,2,6.4,3.0,1.0,1.0
1633229,IT,9,9,7.53,3.0,5.0,5.0
1633280,IT,8,7,6.14,2.0,7.0,6.0
1633341,IT,7,7,7.76,3.45,4.0,4.0
1633362,IT,5,5,7.0,2.5,2.0,2.0
1633751,IT,11,11,6.74,2.6,10.0,10.0
1634136,IT,10,10,8.74,3.69,9.0,9.0
1634248,IT,4,4,5.9,1.5,1.0,1.0
1634877,IT,7,7,6.53,2.5,5.0,5.0
1634950,IT,4,4,8.18,3.25,2.0,2.0
1635017,IT,11,11,7.25,2.89,9.0,9.0
1635083,IT,10,9,6.3,2.1,5.0,4.0
1635242,IT,7,7,6.89,2.5,3.0,3.0
1635422,IT,6,6,7.67,3.27,3.0,3.0
1635433,IT,8,8,7.99,3.33,7.0,7.0
1635456,IT,5,5,8.38,3.65,2.0,2.0
1635630,IT,8,8,8.71,3.77,7.0,7.0
1635707,IT,8,8,8.55,3.62,5.0,5.0
1635777,IT,5,5,7.38,3.0,2.0,2.0
1635781,IT,9,6,5.36,1.79,7.0,5.0
1636047,IT,8,4,4.71,1.88,4.0,3.0
1636150,IT,7,7,7.6,2.83,3.0,3.0
1636225,IT,7,7,8.5,3.58,4.0,4.0
1636443,IT,8,5,5.56,1.2,5.0,2.0
1636454,IT,3,2,6.03,1.0,1.0,0.0
1636689,IT,9,9,6.6,2.57,7.0,7.0
1636854,IT,11,11,7.75,3.31,10.0,10.0
1636907,IT,8,8,7.88,3.32,4.0,4.0
1636956,IT,4,4,7.18,3.0,2.0,2.0
1637010,IT,7,7,7.56,3.12,4.0,4.0
1637049,IT,7,7,7.53,2.83,3.0,3.0
1637141,IT,6,5,5.27,1.33,3.0,2.0
1637178,IT,7,6,6.07,2.62,4.0,4.0
1637499,IT,8,8,7.86,3.17,6.0,6.0
1637519,IT,8,5,4.71,1.75,4.0,4.0
1637539,IT,9,9,8.37,3.82,4.0,4.0
1637542,IT,10,5,5.13,1.56,9.0,5.0
1637564,IT,5,5,7.12,3.25,2.0,2.0
1637674,IT,3,3,6.37,2.5,1.0,1.0
1637887,IT,9,9,8.6,3.74,8.0,8.0
1638018,IT,9,9,6.57,2.38,4.0,4.0
1638043,IT,7,7,7.84,3.17,3.0,3.0
1638109,IT,11,11,7.33,3.09,9.0,9.0
1638116,IT,7,7,6.81,2.5,3.0,3.0
1638148,IT,11,11,6.85,2.75,10.0,10.0
1638154,IT,5,5,8.84,3.75,2.0,2.0
1638168,IT,8,7,6.21,2.38,4.0,4.0
1638369,IT,7,2,3.96,1.25,4.0,2.0
1638438,IT,7,7,8.2,3.43,3.0,3.0
1638487,IT,9,9,8.53,3.6,5.0,5.0
1638544,IT,6,6,7.47,3.0,4.0,4.0
1638562,IT,8,8,7.9,3.56,5.0,5.0
1638613,IT,8,8,8.85,3.88,4.0,4.0
1638818,IT,10,10,7.89,3.42,5.0,5.0
1638898,IT,11,11,7.64,3.11,9.0,9.0
1638921,IT,7,4,5.04,2.0,3.0,2.0
1638955,IT,4,3,6.38,3.0,2.0,2.0
1638973,IT,8,8,6.95,2.75,4.0,4.0
1639025,IT,5,5,7.9,3.2,3.0,3.0
1639065,IT,8,8,7.69,2.88,4.0,4.0
1639202,IT,11,11,7.46,3.05,10.0,10.0
1639209,IT,9,9,8.06,3.3,7.0,7.0
1639237,IT,8,8,7.68,3.0,5.0,5.0
1639294,IT,7,5,5.97,1.88,4.0,2.0
1639304,IT,7,7,8.44,3.65,4.0,4.0
1639346,IT,10,10,6.43,2.33,9.0,9.0
1639367,IT,6,6,8.83,3.75,2.0,2.0
1639374,IT,7,3,5.26,1.9,5.0,3.0
1639486,IT,12,8,4.94,1.64,11.0,8.0
1639599,IT,11,11,8.27,3.64,10.0,10.0
1639617,IT,12,11,6.99,2.68,11.0,10.0
1639664,IT,7,7,8.84,3.7,3.0,3.0
1639670,IT,4,4,7.7,3.25,2.0,2.0
1639703,IT,7,7,8.44,3.62,4.0,4.0
1639796,IT,4,3,5.92,1.0,1.0,0.0
1639999,IT,5,5,8.92,3.75,2.0,2.0
1730006,IT,4,2,4.42,2.5,1.0,1.0
1730009,IT,8,8,8.52,3.62,5.0,5.0
1730119,IT,10,10,8.13,3.55,8.0,8.0
1730130,IT,7,7,8.6,3.87,3.0,3.0
1730177,IT,6,6,8.22,3.6,3.0,3.0
1730256,IT,6,5,5.12,2.38,4.0,4.0
1730291,IT,10,8,6.38,2.17,9.0,7.0
1730312,IT,6,6,8.92,3.65,2.0,2.0
1730338,IT,7,5,5.56,2.0,4.0,3.0
1730444,IT,9,9,8.96,3.88,4.0,4.0
1730562,IT,8,8,7.46,2.75,4.0,4.0
1730702,IT,5,5,8.96,3.5,1.0,1.0
1730788,IT,4,4,7.98,3.0,1.0,1.0
1730793,IT,8,8,6.69,2.62,4.0,4.0
1730825,IT,4,4,8.2,3.15,2.0,2.0
1730900,IT,8,8,6.42,2.62,4.0,4.0
1730922,IT,7,7,6.99,2.75,4.0,4.0
1730935,IT,7,6,5.76,1.75,4.0,3.0
1730936,IT,4,4,6.52,2.75,2.0,2.0
1731076,IT,10,10,6.8,2.61,9.0,9.0
1731158,IT,8,8,6.49,2.36,7.0,7.0
1731207,IT,4,3,6.18,2.0,1.0,1.0
1731236,IT,4,2,5.75,1.0,1.0,0.0
1731291,IT,4,4,8.8,4.0,2.0,2.0
1731479,IT,8,6,5.04,1.4,5.0,3.0
1731532,IT,7,5,5.56,1.9,5.0,4.0
1731588,IT,10,10,7.62,3.16,9.0,9.0
1731919,IT,8,8,8.29,3.45,4.0,4.0
1732097,IT,9,9,8.81,3.74,7.0,7.0
