IDSinhVien,nganh,MaMonHoc,TenMonHoc,TenDot,hk_so,nam_hoc,DiemTongKet,DiemTongKet4,DiemChu,dat,ThuocKCNTT
1840087,SE,003733,Cơ sở văn hóa Việt Nam,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,0
1940060,SE,004021,Lập trình GUI với Qt Framework,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
2040079,SE,004099,Khai thác dữ liệu và ứng dụng,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,1
1940059,SE,003634,Âm nhạc – Nhạc lý và Guitar căn bản,HK1 (2022-2023),1,2022-2023,10.0,4.0,A+,True,0
2040042,SE,003605,Phương pháp tính,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,0
1740073,SE,001730,Automat & ngôn ngữ hình thức,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1640068,SE,002804,Lập trình phân tán với công nghệ Java,HK2 (2018-2019),2,2018-2019,10.0,4.0,A+,True,1
1740009,SE,003633,Tiếng Việt thực hành,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,0
1640061,SE,001724,Hệ quản trị cơ sở dữ liệu,HK2 (2017-2018),2,2017-2018,10.0,4.0,A+,True,1
2040015,SE,003622,Tâm lý học đại cương,HK1 (2023-2024),1,2023-2024,10.0,4.0,A+,True,0
2040090,SE,003952,Tiếp thị điện tử,HK2 (2023-2024),2,2023-2024,10.0,4.0,A+,True,0
1740027,SE,014192,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,0
1940063,SE,004353,Kiến trúc hướng dịch vụ và Điện toán đám mây,HK2 (2022-2023),2,2022-2023,10.0,4.0,A+,True,1
1940029,SE,004150,Thương mại điện tử,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,0
1740025,SE,003952,Tiếp thị điện tử,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,0
1740080,SE,004196,Quản lý dự án CNTT,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1740025,SE,015396,Ứng dụng 5S và Kaizen trong sản xuất,HK1 (2018-2019),1,2018-2019,10.0,4.0,A+,True,0
1940078,SE,003697,Toán ứng dụng,HK2 (2019-2020),2,2019-2020,10.0,4.0,A+,True,0
1840068,SE,014192,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,0
1840065,SE,004248,Lập trình mạng với Qt Framework,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1840007,SE,004195,Lập trình thiết bị di động nâng cao,HK2 (2021-2022),2,2021-2022,10.0,4.0,A+,True,1
1740061,SE,004352,Phát triển ứng dụng Web với Qt Engine,HK1 (2020-2021),1,2020-2021,10.0,4.0,A+,True,1
1740001,SE,003953,Lập trình phân tích dữ liệu 2,HK2 (2020-2021),2,2020-2021,10.0,4.0,A+,True,1
1840088,SE,003950,Lập trình WWW (Java),HK1 (2021-2022),1,2021-2022,10.0,4.0,A+,True,1
