IDSinhVien,nganh,so_mon_total,so_mon_dat_total,diem_tb_total,gpa_thang4,so_mon_cntt,so_mon_dat_cntt
1640001,SE,11,11,9.44,3.98,9.0,9.0
1640002,SE,12,12,7.86,3.25,11.0,11.0
1640003,SE,12,12,7.74,3.22,8.0,8.0
1640004,SE,7,7,7.49,3.2,4.0,4.0
1640005,SE,8,8,8.2,3.3,5.0,5.0
1640006,SE,12,12,8.09,3.37,9.0,9.0
1640007,SE,7,7,7.44,2.88,4.0,4.0
1640008,SE,9,9,8.59,3.66,5.0,5.0
1640009,SE,10,10,7.76,3.08,6.0,6.0
1640010,SE,7,7,7.41,3.0,4.0,4.0
1640011,SE,6,6,8.53,3.5,2.0,2.0
1640012,SE,7,7,8.57,3.38,4.0,4.0
1640013,SE,12,12,7.75,3.26,9.0,9.0
1640014,SE,8,8,7.66,3.0,6.0,6.0
1640015,SE,6,6,7.27,3.15,2.0,2.0
1640016,SE,8,8,7.95,3.35,6.0,6.0
1640017,SE,6,3,5.95,2.0,4.0,2.0
1640018,SE,8,8,7.32,2.8,5.0,5.0
1640019,SE,11,11,8.32,3.55,8.0,8.0
1640020,SE,10,9,6.59,2.33,6.0,5.0
1640021,SE,8,8,8.06,3.3,5.0,5.0
1640022,SE,8,8,7.14,2.9,5.0,5.0
1640023,SE,4,4,7.65,3.0,2.0,2.0
1640024,SE,7,7,7.46,3.12,4.0,4.0
1640025,SE,9,9,8.66,3.7,5.0,5.0
1640026,SE,10,6,5.03,1.62,8.0,5.0
1640027,SE,7,7,6.94,2.8,5.0,5.0
1640028,SE,9,9,8.94,3.8,6.0,6.0
1640029,SE,12,12,7.4,3.0,8.0,8.0
1640030,SE,5,5,9.1,4.0,3.0,3.0
1640031,SE,12,10,6.65,2.55,11.0,10.0
1640032,SE,5,5,9.26,4.0,1.0,1.0
1640033,SE,4,4,8.35,3.0,1.0,1.0
1640034,SE,6,5,6.27,1.5,2.0,1.0
1640035,SE,9,9,7.91,3.22,6.0,6.0
1640036,SE,10,10,7.84,3.19,7.0,7.0
1640037,SE,9,9,7.94,3.42,5.0,5.0
1640038,SE,8,8,8.0,3.26,5.0,5.0
1640039,SE,5,5,8.16,3.5,1.0,1.0
1640040,SE,7,7,7.94,3.1,5.0,5.0
1640041,SE,6,6,7.93,3.33,3.0,3.0
1640042,SE,7,7,7.41,3.0,3.0,3.0
1640043,SE,10,10,7.74,3.52,6.0,6.0
1640044,SE,9,9,8.68,3.68,5.0,5.0
1640045,SE,12,12,8.42,3.63,10.0,10.0
1640046,SE,10,10,7.43,2.93,7.0,7.0
1640047,SE,12,12,7.74,3.3,8.0,8.0
1640048,SE,6,5,6.72,2.33,3.0,2.0
1640049,SE,4,4,8.95,4.0,2.0,2.0
1640050,SE,12,11,7.37,2.81,8.0,7.0
1640051,SE,8,8,7.32,3.08,6.0,6.0
1640052,SE,10,10,8.6,3.56,5.0,5.0
1640053,SE,8,8,7.71,3.1,5.0,5.0
1640054,SE,12,12,7.93,3.51,8.0,8.0
1640055,SE,8,7,6.75,2.4,5.0,4.0
1640056,SE,10,10,8.17,3.57,6.0,6.0
1640057,SE,5,5,7.96,3.25,2.0,2.0
1640058,SE,9,9,8.71,3.8,6.0,6.0
1640059,SE,7,7,7.96,3.52,4.0,4.0
1640060,SE,12,6,5.32,1.72,9.0,4.0
1640061,SE,10,10,8.29,3.5,7.0,7.0
1640062,SE,8,8,8.94,3.88,5.0,5.0
1640063,SE,4,4,8.05,3.8,1.0,1.0
1640064,SE,6,6,7.57,2.88,4.0,4.0
1640065,SE,5,5,8.24,3.65,2.0,2.0
1640066,SE,10,10,7.99,3.38,6.0,6.0
1640067,SE,4,4,7.75,3.5,1.0,1.0
1640068,SE,10,10,9.11,3.98,8.0,8.0
1640069,SE,8,6,6.05,2.0,5.0,3.0
1640070,SE,10,10,7.63,2.86,7.0,7.0
1640071,SE,5,5,8.56,3.4,2.0,2.0
1640072,SE,6,5,6.45,2.75,2.0,2.0
1640073,SE,8,7,6.56,2.6,5.0,5.0
1640074,SE,12,8,6.28,2.1,10.0,7.0
1640075,SE,6,6,7.7,3.1,3.0,3.0
1640076,SE,7,4,4.97,1.38,4.0,2.0
1640077,SE,4,3,6.0,2.75,2.0,2.0
1640078,SE,11,11,8.06,3.16,8.0,8.0
1640079,SE,11,11,7.82,3.38,9.0,9.0
1640080,SE,12,12,8.85,3.66,10.0,10.0
1640081,SE,7,5,6.16,2.6,5.0,4.0
1640082,SE,9,9,7.93,3.2,5.0,5.0
