IDSinhVien|MaMonHoc|TenDot|DiemTongKet|ThuocKCNTT|TenMonHoc
1610001|003631|HK2 (2016-2017)|7.2|0|Vật lý đại cương
1610001|015396|HK1 (2017-2018)|8.5|0|Ứng dụng 5S và Kaizen trong sản xuất
1610001|001479|HK1 (2017-2018)|8.2|0|Địa lí kinh tế
1610001|004119|HK2 (2017-2018)|8.0|1|Lập trình hướng đối tượng
1610001|004022|HK2 (2017-2018)|8.4|1|Lập trình phân tích dữ liệu 1
1610001|002876|HK1 (2018-2019)|8.3|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610001|014181|HK1 (2018-2019)|8.2|1|Hệ quản trị CSDL NoSQL MongoDB
1610001|003748|HK1 (2019-2020)|8.0|0|Hội Họa
1610001|003633|HK1 (2019-2020)|8.6|0|Tiếng Việt thực hành
1610001|002804|HK1 (2019-2020)|8.1|1|Lập trình phân tán với công nghệ Java
1610001|001758|HK1 (2019-2020)|8.1|1|Phân tích thiết kế giải thuật
1610002|003631|HK2 (2016-2017)|7.7|0|Vật lý đại cương
1610002|003822|HK2 (2016-2017)|8.1|0|Logic học
1610002|003697|HK2 (2016-2017)|7.7|0|Toán ứng dụng
1610002|015396|HK1 (2017-2018)|7.2|0|Ứng dụng 5S và Kaizen trong sản xuất
1610002|015400|HK1 (2017-2018)|6.7|1|Công nghệ thông tin trong chuyển đổi số
1610002|004119|HK2 (2017-2018)|6.5|1|Lập trình hướng đối tượng
1610002|004022|HK2 (2017-2018)|7.6|1|Lập trình phân tích dữ liệu 1
1610002|002876|HK1 (2018-2019)|7.6|1|Lập Trình Hướng Sự Kiện với Công Nghệ Java
1610002|014181|HK1 (2018-2019)|8.3|1|Hệ quản trị CSDL NoSQL MongoDB
1610002|002804|HK1 (2019-2020)|6.4|1|Lập trình phân tán với công nghệ Java
1610002|015060|HK2 (2019-2020)|7.3|1|Phân tích và quản lý yêu cầu
1610002|001899|HK2 (2019-2020)|8.9|1|Công nghệ phần mềm
1610003|003822|HK2 (2016-2017)|6.5|0|Logic học
1610003|004119|HK2 (2017-2018)|6.3|1|Lập trình hướng đối tượng
1610003|002990|HK1 (2018-2019)|6.2|1|Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1610003|014181|HK1 (2018-2019)|5.4|1|Hệ quản trị CSDL NoSQL MongoDB
1610003|003406|HK1 (2019-2020)|6.8|1|Lập trình Phân Tán Công Nghệ .NET
1610004|014233|HK1 (2017-2018)|7.1|1|Ngôn ngữ Python
1610004|004022|HK2 (2017-2018)|7.7|1|Lập trình phân tích dữ liệu 1
1610004|003953|HK1 (2018-2019)|7.8|1|Lập trình phân tích dữ liệu 2
1610004|004024|HK2 (2018-2019)|7.5|1|Nhập môn dữ liệu lớn
1610004|003748|HK1 (2019-2020)|8.3|0|Hội Họa
1610004|014192|HK1 (2019-2020)|8.4|0|Kỹ năng sử dụng bàn phím và thiết bị văn phòng
1610005|014233|HK1 (2017-2018)|8.7|1|Ngôn ngữ Python
1610005|004022|HK2 (2017-2018)|8.0|1|Lập trình phân tích dữ liệu 1
1610005|003953|HK1 (2018-2019)|6.3|1|Lập trình phân tích dữ liệu 2
1610005|003952|HK2 (2018-2019)|7.3|0|Tiếp thị điện tử
1610005|004024|HK2 (2018-2019)|7.1|1|Nhập môn dữ liệu lớn
1610005|014192|HK1 (2019-2020)|8.9|0|Kỹ năng sử dụng bàn phím và thiết bị văn phòng
1610005|003733|HK1 (2019-2020)|8.8|0|Cơ sở văn hóa Việt Nam
1610005|015060|HK2 (2019-2020)|7.8|1|Phân tích và quản lý yêu cầu
1610006|014233|HK1 (2017-2018)|9.5|1|Ngôn ngữ Python
