IDSinhVien|MaMonHoc|TenDot|DiemTongKet|ThuocKCNTT|TenMonHoc
1620001|015299|HK1 (2017-2018)|7.5|0|Ứng dụng hóa học trong Công nghiệp
1620001|015296|HK1 (2017-2018)|7.1|1|Công nghệ thông tin trong chuyển đổi số
1620001|014063|HK2 (2017-2018)|6.2|1|Trực quan hóa dữ liệu
1620001|014106|HK2 (2017-2018)|6.3|1|Quá trình ngẫu nhiên
1620001|014110|HK1 (2018-2019)|6.4|1|Phân tích chuỗi thời gian
1620001|014122|HK1 (2018-2019)|7.6|1|Xử lý ảnh
1620001|001111|HK2 (2018-2019)|5.6|1|Công nghệ phần mềm
1620001|014112|HK2 (2018-2019)|6.8|1|Nhập môn Robot
1620001|001004|HK1 (2019-2020)|5.7|1|Nhập môn an toàn thông tin
1620001|014119|HK2 (2019-2020)|6.1|1|Phân tích dữ liệu Bayesian
1620001|003592|HK2 (2019-2020)|8.4|1|Đảm bảo chất lượng và Kiểm thử phần mềm
1620002|003240|HK2 (2016-2017)|7.4|0|Hàm phức và phép biến đổi Laplace
1620002|003320|HK2 (2016-2017)|7.6|0|Phương pháp tính
1620002|003206|HK1 (2017-2018)|6.3|0|Môi trường và con người
1620002|014062|HK2 (2017-2018)|7.6|1|Giải thuật và tối ưu hóa phân tán
1620002|014107|HK2 (2017-2018)|8.8|1|Các ngôn ngữ truy vấn cơ sở dữ liệu
1620002|014064|HK2 (2017-2018)|7.8|1|Đại số tuyến tính tính toán
1620002|014111|HK1 (2018-2019)|7.1|0|Kỹ thuật tài chính
1620002|001111|HK2 (2018-2019)|7.6|1|Công nghệ phần mềm
1620002|010665|HK1 (2019-2020)|7.9|0|Cơ sở văn hóa Việt Nam
1620002|003592|HK2 (2019-2020)|7.3|1|Đảm bảo chất lượng và Kiểm thử phần mềm
1620002|014119|HK2 (2019-2020)|7.5|1|Phân tích dữ liệu Bayesian
1620003|014062|HK2 (2017-2018)|9.8|1|Giải thuật và tối ưu hóa phân tán
1620003|014107|HK2 (2017-2018)|8.0|1|Các ngôn ngữ truy vấn cơ sở dữ liệu
1620003|014064|HK2 (2017-2018)|8.5|1|Đại số tuyến tính tính toán
1620003|014063|HK2 (2017-2018)|8.9|1|Trực quan hóa dữ liệu
1620003|014110|HK1 (2018-2019)|9.6|1|Phân tích chuỗi thời gian
1620003|014122|HK1 (2018-2019)|8.6|1|Xử lý ảnh
1620003|003453|HK2 (2018-2019)|8.4|0|Tiếp thị điện tử
1620003|001111|HK2 (2018-2019)|8.9|1|Công nghệ phần mềm
1620003|001076|HK2 (2018-2019)|8.8|1|Tương tác người máy
1620003|014116|HK1 (2019-2020)|8.5|1|Hệ khuyến nghị
1620003|001004|HK1 (2019-2020)|9.2|1|Nhập môn an toàn thông tin
1620003|014121|HK2 (2019-2020)|8.4|0|Giải tích ngẫu nhiên cho tài chính
1620004|015296|HK1 (2017-2018)|6.2|1|Công nghệ thông tin trong chuyển đổi số
1620004|014064|HK2 (2017-2018)|8.3|1|Đại số tuyến tính tính toán
1620004|003195|HK1 (2019-2020)|8.5|0|Xã hội học
1620004|001004|HK1 (2019-2020)|8.8|1|Nhập môn an toàn thông tin
1620005|003345|HK2 (2016-2017)|6.2|0|Vật lý đại cương
1620005|003206|HK1 (2017-2018)|6.5|0|Môi trường và con người
1620005|014062|HK2 (2017-2018)|6.3|1|Giải thuật và tối ưu hóa phân tán
1620005|014106|HK2 (2017-2018)|6.2|1|Quá trình ngẫu nhiên
1620005|014110|HK1 (2018-2019)|6.4|1|Phân tích chuỗi thời gian
1620005|014114|HK2 (2018-2019)|6.8|1|Tính toán song song
