IDSinhVien,MaMonHoc,TenDot,DiemTongKet,ThuocKCNTT,TenMonHoc
1677250,003197,HK1 (2019-2020),8.0,0,Kỹ năng xây dựng kế hoạch
1677250,003203,HK2 (2019-2020),7.6,0,Âm nhạc – Nhạc lý và Guitar căn bản
1677250,003395,HK1 (2020-2021),8.9,0,Logic học
1677250,001076,HK1 (2020-2021),7.9,1,Tương tác người máy
1677250,000901,HK1 (2020-2021),9.5,1,Cấu trúc rời rạc
1677250,003893,HK2 (2020-2021),9.3,0,Quản trị bán hàng
1677250,004032,HK2 (2020-2021),8.4,0,Quản trị vận hành và Chuỗi cung ứng
1677250,001295,HK2 (2020-2021),7.6,0,Quản trị nguồn nhân lực
1677250,001366,HK1 (2021-2022),8.3,1,Automat & ngôn ngữ hình thức
1677250,003453,HK1 (2021-2022),7.7,1,Tiếp thị điện tử
1678332,003345,HK2 (2018-2019),8.3,0,Vật lý đại cương
1678332,003196,HK1 (2019-2020),6.4,0,Giao tiếp kinh doanh
1678332,003203,HK2 (2019-2020),7.5,0,Âm nhạc – Nhạc lý và Guitar căn bản
1678332,003893,HK2 (2020-2021),7.8,0,Quản trị bán hàng
1678332,001076,HK1 (2021-2022),6.0,1,Tương tác người máy
1678332,003443,HK2 (2021-2022),4.5,1,Khai thác dữ liệu và ứng dụng
1678332,001295,HK2 (2021-2022),6.6,0,Quản trị nguồn nhân lực
1678332,002330,HK2 (2022-2023),7.9,1,Lập trình phân tích dữ liệu 2
1678332,000901,HK1 (2023-2024),3.5,1,Cấu trúc rời rạc
1678603,003345,HK2 (2018-2019),8.6,0,Vật lý đại cương
1678603,003205,HK1 (2019-2020),6.3,0,Quản trị doanh nghiệp
1678603,003195,HK2 (2019-2020),7.7,0,Xã hội học
1678603,003591,HK1 (2020-2021),5.9,1,Lập trình hướng đối tượng
1678603,003245,HK2 (2020-2021),8.6,0,Tiếng Việt thực hành
1678603,003893,HK2 (2020-2021),8.8,0,Quản trị bán hàng
1678603,002296,HK1 (2021-2022),5.4,0,Kiểm toán cơ bản
1678603,001276,HK1 (2021-2022),7.9,0,Hành vi tổ chức
1678603,003443,HK1 (2021-2022),6.9,1,Khai thác dữ liệu và ứng dụng
1678603,001295,HK2 (2021-2022),6.4,0,Quản trị nguồn nhân lực
1678603,001366,HK2 (2023-2024),,1,Automat & ngôn ngữ hình thức
1678603,002031,HK2 (2023-2024),,1,Lập trình phân tích dữ liệu 1
1678614,003195,HK3 (2018-2019),7.7,0,Xã hội học
1678614,003196,HK1 (2019-2020),7.4,0,Giao tiếp kinh doanh
1678614,003217,HK1 (2019-2020),6.3,0,Quản trị học
1678614,003395,HK2 (2019-2020),6.3,0,Logic học
1678614,001076,HK1 (2020-2021),6.5,1,Tương tác người máy
1678614,010665,HK2 (2020-2021),7.5,0,Cơ sở văn hóa Việt Nam
1678614,003893,HK2 (2020-2021),8.4,0,Quản trị bán hàng
1678614,002296,HK1 (2021-2022),6.8,0,Kiểm toán cơ bản
