IDSinhVien,MaMonHoc,TenDot,DiemTongKet,ThuocKCNTT,TenMonHoc
1637178,003605,HK2 (2016-2017),5.0,0,Phương pháp tính
1637178,001479,HK1 (2017-2018),4.3,0,Địa lí kinh tế
1637178,001724,HK2 (2017-2018),6.3,1,Hệ quản trị cơ sở dữ liệu
1637178,015017,HK2 (2017-2018),6.5,1,Kiến trúc lưu trữ phân tán
1637178,015010,HK1 (2018-2019),7.8,1,Phát triển ứng dụng WEB
1637178,001954,HK2 (2018-2019),6.2,1,Trí tuệ nhân tạo
1637178,003622,HK1 (2019-2020),6.4,0,Tâm lý học đại cương
1631546,003783,HK2 (2016-2017),6.1,0,Hàm phức và phép biến đổi Laplace
1631546,003877,HK1 (2017-2018),5.7,0,Môi trường và con người
1631546,015016,HK2 (2017-2018),7.1,1,Điện toán đám mây
1631546,001724,HK2 (2017-2018),7.8,1,Hệ quản trị cơ sở dữ liệu
1631546,015017,HK2 (2017-2018),5.3,1,Kiến trúc lưu trữ phân tán
1631546,015010,HK1 (2018-2019),6.0,1,Phát triển ứng dụng WEB
1631546,001954,HK2 (2018-2019),5.3,1,Trí tuệ nhân tạo
1631546,015013,HK2 (2018-2019),5.7,1,Quản lý dự án hệ thống thông tin
1637887,003783,HK2 (2016-2017),8.0,0,Hàm phức và phép biến đổi Laplace
1637887,015400,HK1 (2017-2018),9.1,1,Công nghệ thông tin trong chuyển đổi số
1637887,015016,HK2 (2017-2018),8.0,1,Điện toán đám mây
1637887,001724,HK2 (2017-2018),8.9,1,Hệ quản trị cơ sở dữ liệu
1637887,015010,HK1 (2018-2019),8.5,1,Phát triển ứng dụng WEB
1637887,015009,HK1 (2018-2019),8.8,1,Công cụ Web và Website hướng dữ liệu
1637887,015012,HK2 (2018-2019),7.1,1,Mạng không dây
1637887,015013,HK2 (2018-2019),9.4,1,Quản lý dự án hệ thống thông tin
1637887,015003,HK1 (2019-2020),9.6,1,Truyền số liệu
1639486,003605,HK2 (2016-2017),2.4,0,Phương pháp tính
1639486,015400,HK1 (2017-2018),5.5,1,Công nghệ thông tin trong chuyển đổi số
1639486,015018,HK2 (2017-2018),5.7,1,Điện toán cụm
1639486,015017,HK2 (2017-2018),4.3,1,Kiến trúc lưu trữ phân tán
1639486,015006,HK2 (2017-2018),1.0,1,Cơ sở dữ liệu phân tán
1639486,015009,HK1 (2018-2019),5.2,1,Công cụ Web và Website hướng dữ liệu
1639486,015010,HK1 (2018-2019),5.6,1,Phát triển ứng dụng WEB
1639486,015012,HK2 (2018-2019),7.7,1,Mạng không dây
1639486,015003,HK1 (2019-2020),5.8,1,Truyền số liệu
1639486,015004,HK1 (2019-2020),5.9,1,Quản trị dịch vụ mạng
1639486,004022,HK2 (2019-2020),4.8,1,Lập trình phân tích dữ liệu 1
1639486,001730,HK2 (2019-2020),5.4,1,Automat & ngôn ngữ hình thức
1639065,003697,HK2 (2016-2017),7.0,0,Toán ứng dụng
1639065,003582,HK1 (2017-2018),8.3,0,Kỹ năng xây dựng kế hoạch
1639065,001843,HK2 (2017-2018),7.7,1,Kiến trúc và cài đặt hệ quản trị CSDL
1639065,015006,HK2 (2017-2018),8.2,1,Cơ sở dữ liệu phân tán
1639065,015009,HK1 (2018-2019),5.5,1,Công cụ Web và Website hướng dữ liệu
1639065,004150,HK1 (2018-2019),8.9,0,Thương mại điện tử
1639065,001954,HK2 (2018-2019),7.8,1,Trí tuệ nhân tạo
1639065,014192,HK1 (2019-2020),8.1,0,Kỹ năng sử dụng bàn phím và thiết bị văn phòng
1632089,003697,HK2 (2016-2017),9.8,0,Toán ứng dụng
1632089,003877,HK1 (2017-2018),8.5,0,Môi trường và con người
1632089,015006,HK2 (2017-2018),8.1,1,Cơ sở dữ liệu phân tán
1632089,001843,HK2 (2017-2018),8.8,1,Kiến trúc và cài đặt hệ quản trị CSDL
1632089,015009,HK1 (2018-2019),8.8,1,Công cụ Web và Website hướng dữ liệu
1632089,015013,HK2 (2018-2019),7.7,1,Quản lý dự án hệ thống thông tin
1632089,015012,HK2 (2018-2019),6.8,1,Mạng không dây
1632089,015003,HK1 (2019-2020),8.6,1,Truyền số liệu
1637542,003697,HK2 (2016-2017),3.8,0,Toán ứng dụng
1637542,015400,HK1 (2017-2018),3.8,1,Công nghệ thông tin trong chuyển đổi số
1637542,001843,HK2 (2017-2018),4.1,1,Kiến trúc và cài đặt hệ quản trị CSDL
1637542,001724,HK2 (2017-2018),4.7,1,Hệ quản trị cơ sở dữ liệu
1637542,015010,HK1 (2018-2019),4.5,1,Phát triển ứng dụng WEB
1637542,015012,HK2 (2018-2019),5.3,1,Mạng không dây
1637542,001954,HK2 (2018-2019),5.2,1,Trí tuệ nhân tạo
1637542,015004,HK1 (2019-2020),6.0,1,Quản trị dịch vụ mạng
1637542,015433,HK1 (2019-2020),6.8,1,Kiến trúc và lập trình Web nâng cao
1637542,001730,HK2 (2019-2020),7.1,1,Automat & ngôn ngữ hình thức
1633229,003783,HK2 (2016-2017),8.2,0,Hàm phức và phép biến đổi Laplace
1633229,003877,HK1 (2017-2018),6.6,0,Môi trường và con người
1633229,015018,HK2 (2017-2018),7.7,1,Điện toán cụm
1633229,001724,HK2 (2017-2018),6.5,1,Hệ quản trị cơ sở dữ liệu
1633229,015010,HK1 (2018-2019),7.8,1,Phát triển ứng dụng WEB
1633229,015009,HK1 (2018-2019),7.2,1,Công cụ Web và Website hướng dữ liệu
1633229,015013,HK2 (2018-2019),8.2,1,Quản lý dự án hệ thống thông tin
1633229,003634,HK1 (2019-2020),7.4,0,Âm nhạc – Nhạc lý và Guitar căn bản
1633229,003664,HK1 (2019-2020),8.2,0,Xã hội học
1632781,003697,HK2 (2016-2017),5.8,0,Toán ứng dụng
1632781,015396,HK1 (2017-2018),5.9,0,Ứng dụng 5S và Kaizen trong sản xuất
1632781,001724,HK2 (2017-2018),5.8,1,Hệ quản trị cơ sở dữ liệu
1632781,001843,HK2 (2017-2018),5.2,1,Kiến trúc và cài đặt hệ quản trị CSDL
1632781,015006,HK2 (2017-2018),4.6,1,Cơ sở dữ liệu phân tán
1632781,015009,HK1 (2018-2019),7.8,1,Công cụ Web và Website hướng dữ liệu
1632781,001954,HK2 (2018-2019),7.7,1,Trí tuệ nhân tạo
1632781,015003,HK1 (2019-2020),4.7,1,Truyền số liệu
1638487,003605,HK2 (2016-2017),8.8,0,Phương pháp tính
1638487,001479,HK1 (2017-2018),9.3,0,Địa lí kinh tế
1638487,001843,HK2 (2017-2018),9.5,1,Kiến trúc và cài đặt hệ quản trị CSDL
