IDSinhVien,MaMonHoc,TenDot,DiemTongKet,ThuocKCNTT,TenMonHoc
1740001,003783,HK2 (2017-2018),8.8,0,Hàm phức và phép biến đổi Laplace
1740001,001729,HK2 (2018-2019),9.3,1,Tương tác người máy
1740001,004351,HK1 (2019-2020),9.4,1,Kỹ thuật điện tử
1740001,002804,HK2 (2019-2020),8.8,1,Lập trình phân tán với công nghệ Java
1740001,003950,HK1 (2020-2021),9.8,1,Lập trình WWW (Java)
1740001,003622,HK1 (2020-2021),9.3,0,Tâm lý học đại cương
1740001,003953,HK2 (2020-2021),10.0,1,Lập trình phân tích dữ liệu 2
1740001,004196,HK2 (2020-2021),9.1,1,Quản lý dự án CNTT
1740001,003952,HK2 (2020-2021),7.1,0,Tiếp thị điện tử
1740002,003697,HK2 (2017-2018),6.0,0,Toán ứng dụng
1740002,002990,HK2 (2018-2019),8.4,1,Lập Trình Hướng Sự Kiện với Công Nghệ .NET
1740002,004099,HK1 (2019-2020),8.3,1,Khai thác dữ liệu và ứng dụng
1740002,003406,HK2 (2019-2020),7.5,1,Lập trình Phân Tán Công Nghệ .NET
1740002,004202,HK1 (2020-2021),7.3,1,Lập trình WWW (.NET)
1740002,003622,HK1 (2020-2021),6.1,0,Tâm lý học đại cương
1740002,004024,HK2 (2020-2021),8.3,1,Nhập môn dữ liệu lớn
1740002,003952,HK2 (2020-2021),6.8,0,Tiếp thị điện tử
1740003,003822,HK2 (2017-2018),8.2,0,Logic học
1740003,015400,HK1 (2018-2019),7.6,1,Công nghệ thông tin trong chuyển đổi số
1740003,001729,HK2 (2018-2019),8.2,1,Tương tác người máy
1740003,001724,HK2 (2018-2019),7.5,1,Hệ quản trị cơ sở dữ liệu
1740003,004022,HK1 (2019-2020),6.0,1,Lập trình phân tích dữ liệu 1
1740003,004099,HK1 (2019-2020),7.2,1,Khai thác dữ liệu và ứng dụng
1740003,004351,HK1 (2019-2020),8.1,1,Kỹ thuật điện tử
1740003,004248,HK2 (2019-2020),7.6,1,Lập trình mạng với Qt Framework
1740003,004352,HK1 (2020-2021),7.7,1,Phát triển ứng dụng Web với Qt Engine
1740003,003951,HK1 (2020-2021),6.2,1,Lập trình IoTs
1740003,003953,HK2 (2020-2021),7.3,1,Lập trình phân tích dữ liệu 2
1740003,004196,HK2 (2020-2021),8.1,1,Quản lý dự án CNTT
1740004,003697,HK2 (2017-2018),7.1,0,Toán ứng dụng
1740004,015400,HK1 (2018-2019),8.3,1,Công nghệ thông tin trong chuyển đổi số
1740004,002876,HK2 (2018-2019),7.7,1,Lập Trình Hướng Sự Kiện với Công Nghệ Java
1740004,001724,HK2 (2018-2019),7.3,1,Hệ quản trị cơ sở dữ liệu
1740004,004351,HK1 (2019-2020),4.5,1,Kỹ thuật điện tử
1740004,002804,HK2 (2019-2020),7.2,1,Lập trình phân tán với công nghệ Java
1740004,003950,HK1 (2020-2021),5.7,1,Lập trình WWW (Java)
1740004,003951,HK1 (2020-2021),7.9,1,Lập trình IoTs
1740004,003733,HK1 (2020-2021),7.0,0,Cơ sở văn hóa Việt Nam
1740004,001730,HK2 (2020-2021),7.6,1,Automat & ngôn ngữ hình thức
1740004,004195,HK2 (2020-2021),5.1,1,Lập trình thiết bị di động nâng cao
1740005,003822,HK2 (2017-2018),7.5,0,Logic học
1740005,001724,HK2 (2018-2019),3.7,1,Hệ quản trị cơ sở dữ liệu
1740005,002804,HK2 (2019-2020),5.5,1,Lập trình phân tán với công nghệ Java
1740005,014192,HK1 (2020-2021),6.3,0,Kỹ năng sử dụng bàn phím và thiết bị văn phòng
1740005,003664,HK1 (2020-2021),6.2,0,Xã hội học
1740005,003953,HK2 (2020-2021),8.0,1,Lập trình phân tích dữ liệu 2
